benchmark,sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_precision_20,hpc_precision_20,precision_20_change,baseline_center_error,hpc_center_error,center_error_change,best_model,outcome,note
UAV123,uav_car10,clean,clean,none,0,0.863690,0.855939,-0.007751,1.000000,1.000000,+0.000000,1.767431,1.873509,+0.106078,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_car10,motion_blur_medium,motion_blur,medium,42,0.829978,0.839935,+0.009957,1.000000,1.000000,+0.000000,1.874678,2.015716,+0.141038,hpc_rgssb,neutral,"near tie, slight HPC RG-SSB edge"
UAV123,uav_car10,low_resolution_medium,low_resolution,medium,42,0.866897,0.862683,-0.004214,1.000000,1.000000,+0.000000,1.709015,1.762816,+0.053801,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_car10,gaussian_noise_medium,gaussian_noise,medium,42,0.868384,0.867383,-0.001001,1.000000,1.000000,+0.000000,1.643065,1.710973,+0.067908,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_person1,clean,clean,none,0,0.855612,0.849540,-0.006072,1.000000,1.000000,+0.000000,2.816489,3.007079,+0.190590,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_person1,motion_blur_medium,motion_blur,medium,42,0.854149,0.853121,-0.001028,1.000000,1.000000,+0.000000,2.830008,3.061380,+0.231372,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_person1,low_resolution_medium,low_resolution,medium,42,0.858226,0.851882,-0.006344,1.000000,1.000000,+0.000000,2.828360,3.087135,+0.258775,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_person1,gaussian_noise_medium,gaussian_noise,medium,42,0.850878,0.845450,-0.005428,1.000000,1.000000,+0.000000,2.765904,2.902830,+0.136926,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_truck1,clean,clean,none,0,0.909330,0.904412,-0.004918,0.991361,0.978402,-0.012959,4.979477,5.017188,+0.037711,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_truck1,motion_blur_medium,motion_blur,medium,42,0.877874,0.875607,-0.002267,0.946004,0.946004,+0.000000,7.053147,7.191486,+0.138339,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_truck1,low_resolution_medium,low_resolution,medium,42,0.905181,0.900498,-0.004683,0.987041,0.978402,-0.008639,5.120153,5.096191,-0.023962,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_truck1,gaussian_noise_medium,gaussian_noise,medium,42,0.895323,0.882129,-0.013194,0.974082,0.961123,-0.012959,5.843008,5.997738,+0.154730,baseline,neutral,"near tie, slight baseline edge"
UAV123,uav_bike1,clean,clean,none,0,0.851681,0.825572,-0.026109,0.997407,0.988655,-0.008752,4.968024,5.739062,+0.771038,baseline,drop,OSTrack baseline remains better by AUC
UAV123,uav_bike1,motion_blur_medium,motion_blur,medium,42,0.830919,0.805831,-0.025088,0.965640,0.964019,-0.001621,6.075747,7.144278,+1.068531,baseline,drop,OSTrack baseline remains better by AUC
UAV123,uav_bike1,low_resolution_medium,low_resolution,medium,42,0.868633,0.854897,-0.013736,0.996110,0.992220,-0.003890,4.240974,4.671670,+0.430696,baseline,neutral,"near tie, slight baseline edge"
